SNo.,University Name,Country,City,International Ranking,GRE Required,Link
74,Universite Lille-Nord-de-France (ComUE),France,Villeneuve-d'Ascq,#202,,http://www.cue-lillenorddefrance.fr/
75,Communaute Universite Grenoble Alpes,France,Saint-Martin-d'Heres,#203,,https://www.communaute-univ-grenoble-alpes.fr/
76,Western University,Canada,"London, Ontario",#204,,http://welcome.uwo.ca/
77,University of Amsterdam,Netherlands,Amsterdam,#205,,http://www.uva.nl/en/home
78,RWTH Aachen University,Germany,Aachen,#207,,http://www.rwth-aachen.de/ 
79,University of Pisa,Italy,Pisa,#216,,http://www.unipi.it/index.php/english 
80,University of Stuttgart,Germany,Stuttgart,#223,,http://www.uni-stuttgart.de/home/index.en.html 
81,University of Warwick,United Kingdom,Coventry,#230,,http://www2.warwick.ac.uk/
82,Universite Sorbonne Paris Cite-USPC (ComUE),France,Paris,#231,,http://www.sorbonne-paris-cite.fr/fr
83,University of the Basque Country,Spain,"Leioa, Bizkaia",#231,,http://www.ehu.eus/en/en-home
84,Communaute d'Universites et Etablissements d'Aquitaine (ComUE),France,Bordeaux,#234,,http://www.cue-aquitaine.fr/
85,Polytechnic University of Turin,Italy,Turin,#234,,http://www.polito.it/?lang=en 
86,University of Salerno,Italy,Fisciano,#238,,http://web.unisa.it/home
87,University of Wollongong,Australia,"Wollongong, New South Wales",#238,,http://www.uow.edu.au/index.html 
88,University of Victoria,Canada,"Victoria, British Columbia",#240,,http://www.uvic.ca/
89,University of Newcastle,Australia,"Callaghan, New South Wales",#242,,http://www.newcastle.edu.au/ 
90,Simon Fraser University,Canada,"Burnaby, British Columbia",#244,,http://www.sfu.ca
91,VU University Amsterdam,Netherlands,Amsterdam,#246,,http://www.vu.nl/en/
92,University of Liverpool,United Kingdom,Liverpool,#248,,http://www.liv.ac.uk/
