SNo.,University Name,Country,City,International Ranking,Link
56,Université Paris-Sud,France,Orsay,#151,https://www.usnews.com/education/best-global-universities/universite-paris-sud--502000
57,University of Queensland Australia,Australia,"Brisbane, Queensland",#156,https://www.usnews.com/education/best-global-universities/university-of-queensland-australia-500164
58,"Queen Mary, University of London",United Kingdom,London,#157,https://www.usnews.com/education/best-global-universities/queen-mary-university-of-london-503389
59,Queen's University Belfast,United Kingdom,"Belfast, Northern Ireland",#159,https://www.usnews.com/education/best-global-universities/queens-university-belfast-505350
60,University of Birmingham,United Kingdom,Birmingham,#161,https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
61,Polytechnic University of Madrid,Spain,Madrid,#165,https://www.usnews.com/education/best-global-universities/polytechnic-university-of-madrid-500155
62,Monash University,Australia,"Clayton, Victoria",#167,https://www.usnews.com/education/best-global-universities/monash-university-500301
63,Technical University of Denmark,Denmark,Kongens Lyngby,#169,https://www.usnews.com/education/best-global-universities/technical-university-of-denmark-503016
64,PSL Research University Paris (ComUE),France,Paris,#172,https://www.usnews.com/education/best-global-universities/psl-research-university-paris-comue-529378
65,University of Ottawa,Canada,"Ottawa, Ontario",#176,https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
66,Karlsruhe Institute of Technology,Germany,Karlsruhe,#178,https://www.usnews.com/education/best-global-universities/karlsruhe-institute-of-technology-502442
67,Universite Federale Toulouse Midi-Pyrenees (ComUE),France,Toulouse,#179,https://www.usnews.com/education/best-global-universities/universite-federale-toulouse-midi-pyrenees-comue-529381
68,University of Twente,Netherlands,Enschede,#182,https://www.usnews.com/education/best-global-universities/university-of-twente-506687
69,Concordia University,Canada,"Montréal, Québec",#189,https://www.usnews.com/education/best-global-universities/concordia-university-499961
70,Darmstadt University of Technology,Germany,Darmstadt,#189,https://www.usnews.com/education/best-global-universities/darmstadt-university-of-technology-506035
71,National Technical University of Athens,Greece,Athens,#193,https://www.usnews.com/education/best-global-universities/national-technical-university-of-athens-505449
72,Aristotle University of Thessaloniki,Greece,Thessaloniki,#196,https://www.usnews.com/education/best-global-universities/aristotle-university-of-thessaloniki-506056
73,University of Bristol,United Kingdom,Bristol,#196,https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
74,Universite Lille-Nord-de-France (ComUE),France,Villeneuve-d'Ascq,#202,https://www.usnews.com/education/best-global-universities/universite-lille-nord-de-france-comue-529384
75,Communaute Universite Grenoble Alpes,France,Saint-Martin-d'Heres,#203,https://www.usnews.com/education/best-global-universities/communaute-universite-grenoble-alpes-529379
76,Western University,Canada,"London, Ontario",#204,https://www.usnews.com/education/best-global-universities/western-university-499965
77,University of Amsterdam,Netherlands,Amsterdam,#205,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
78,RWTH Aachen University,Germany,Aachen,#207,https://www.usnews.com/education/best-global-universities/rwth-aachen-university-506441
79,University of Pisa,Italy,Pisa,#216,https://www.usnews.com/education/best-global-universities/university-of-pisa-501006
80,University of Stuttgart,Germany,Stuttgart,#223,https://www.usnews.com/education/best-global-universities/university-of-stuttgart-506202
81,University of Warwick,United Kingdom,Coventry,#230,https://www.usnews.com/education/best-global-universities/university-of-warwick-503443
82,Universite Sorbonne Paris Cite-USPC (ComUE),France,Paris,#231,https://www.usnews.com/education/best-global-universities/universite-sorbonne-paris-cite-uspc-comue-529377
